killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,8.0,351070,400321,21.0,350695,400969,375,648,748
AKM,24.0,351927,400987,21.0,351910,401661,17,674,674
AKM,10.0,211131,412121,35.0,210821,412024,310,97,324
Kar98k,6.0,367040,584575,14.0,345745,558965,21295,25610,33306
AKM,14.0,328073,546364,19.0,326719,542949,1354,3415,3673
AKM,10.0,152596,414906,41.0,151576,413362,1020,1544,1850
AKM,10.0,151129,414489,41.0,151226,414496,97,7,97
AKM,31.0,162741,291197,33.0,162691,291254,50,57,75
AKM,10.0,211573,411953,35.0,212196,411741,623,212,658
AKM,14.0,327881,550792,,327268,546129,613,4663,4703
AKM,8.0,382664,372591,36.0,386287,374656,3623,2065,4170
AKM,13.0,214352,525350,13.0,0,0,214352,525350,567397
Kar98k,1.0,352478,611336,4.0,337587,626167,14891,14831,21016
Kar98k,29.0,218732,283151,42.0,211935,289548,6797,6397,9333
AKM,10.0,342996,544940,5.0,327701,545520,15295,580,15305
Kar98k,1.0,361089,620142,7.0,361236,612145,147,7997,7998
AKM,12.0,342139,384188,15.0,339243,383331,2896,857,3020
Kar98k,11.0,301309,314826,18.0,311042,312409,9733,2417,10028
AKM,12.0,360979,399309,26.0,360135,400614,844,1305,1554
AKM,7.0,434036,458750,19.0,433761,458544,275,206,343
AKM,9.0,382364,652544,17.0,382515,652577,151,33,154
AKM,22.0,413461,481536,19.0,413253,481376,208,160,262
AKM,21.0,445029,622451,23.0,445245,622438,216,13,216
Kar98k,9.0,422233,633754,21.0,447635,629573,25402,4181,25743
AKM,10.0,628656,610511,20.0,628572,609946,84,565,571
AKM,5.0,367006,403243,14.0,363955,405066,3051,1823,3554
AKM,5.0,366399,405101,14.0,366398,405392,1,291,291
AKM,18.0,606442,482029,17.0,606476,482472,34,443,444
AKM,7.0,369219,590395,15.0,369219,590198,0,197,197
AKM,3.0,293430,567939,4.0,293097,568121,333,182,379
AKM,18.0,606559,481972,17.0,606419,481957,140,15,140
Kar98k,2.0,714832,436314,21.0,719204,435284,4372,1030,4491
AKM,2.0,490856,380663,7.0,490449,380920,407,257,481
AKM,2.0,491505,379837,7.0,487926,378754,3579,1083,3739
AKM,2.0,442920,363306,16.0,442987,363761,67,455,459
AKM,3.0,594678,347800,23.0,594014,348540,664,740,994
AKM,2.0,439368,376223,14.0,418854,363424,20514,12799,24179
AKM,22.0,446803,366350,38.0,447174,364411,371,1939,1974
AKM,22.0,436468,287099,21.0,437938,287800,1470,701,1628
Kar98k,5.0,511481,316137,13.0,484219,342420,27262,26283,37868
AKM,2.0,442853,363046,16.0,442762,362938,91,108,141
AKM,3.0,595126,347200,23.0,595139,347574,13,374,374
AKM,8.0,427271,338486,17.0,430813,359557,3542,21071,21366
M24,1.0,613856,332542,6.0,613262,344639,594,12097,12111
AKM,2.0,583030,335546,7.0,577841,317039,5189,18507,19220
AKM,6.0,637985,306233,8.0,637835,306251,150,18,151
AKM,20.0,449952,630982,23.0,446353,630601,3599,381,3619
Kar98k,4.0,554607,358669,10.0,552191,346003,2416,12666,12894
AKM,2.0,582533,336078,7.0,578064,331442,4469,4636,6439
AKM,22.0,524908,250843,2.0,524831,250908,77,65,100
AKM,22.0,520363,244058,2.0,521182,244164,819,106,825
AKM,20.0,448521,632283,21.0,447721,632127,800,156,815
AKM,19.0,374026,416925,26.0,374309,416539,283,386,478
AKM,1.0,640107,408339,9.0,640371,408372,264,33,266
AKM,1.0,619725,409317,3.0,615929,406888,3796,2429,4506
AKM,1.0,622377,396012,2.0,628413,399004,6036,2992,6736
AKM,34.0,378054,414609,29.0,377658,414643,396,34,397
AKM,13.0,457244,596944,16.0,459350,598736,2106,1792,2765
Kar98k,4.0,618086,416228,5.0,610321,417678,7765,1450,7899
Kar98k,16.0,446802,629493,38.0,437967,623063,8835,6430,10927
Kar98k,6.0,616853,363268,8.0,614883,367593,1970,4325,4752
AKM,4.0,414703,470971,22.0,422532,465648,7829,5323,9467
AKM,13.0,448025,621123,48.0,448283,621169,258,46,262
Kar98k,4.0,474479,416754,15.0,466011,417839,8468,1085,8537
AKM,13.0,448886,620706,48.0,447586,621263,1300,557,1414
AKM,1.0,621587,412613,4.0,620984,411850,603,763,972
AKM,39.0,342174,311166,48.0,343508,313670,1334,2504,2837
AKM,54.0,367490,410027,55.0,367902,409777,412,250,481
AKM,54.0,365888,409321,61.0,366042,409218,154,103,185
AKM,56.0,368182,408372,75.0,367241,408558,941,186,959
AKM,35.0,441421,337951,60.0,441460,337744,39,207,210
AKM,10.0,429710,154434,29.0,429466,155361,244,927,958
AKM,27.0,142905,336655,62.0,142988,335944,83,711,715
AKM,89.0,362409,409173,94.0,361341,407237,1068,1936,2211
AKM,29.0,433338,451385,78.0,433262,451404,76,19,78
Kar98k,8.0,361436,249841,50.0,358900,257261,2536,7420,7841
AKM,10.0,429606,155086,38.0,428376,155659,1230,573,1356
AKM,59.0,373398,361992,73.0,368114,361493,5284,499,5307
AKM,9.0,466461,641489,46.0,467056,641521,595,32,595
AKM,10.0,479189,542211,12.0,471419,550994,7770,8783,11726
AKM,1.0,621771,376405,41.0,621956,376211,185,194,268
AKM,49.0,624296,371861,41.0,624864,372122,568,261,625
Kar98k,2.0,471435,551851,6.0,457172,548974,14263,2877,14550
AKM,9.0,447575,629353,32.0,451607,629302,4032,51,4032
Kar98k,2.0,501447,556335,13.0,518374,565286,16927,8951,19147
AKM,8.0,526097,482024,31.0,533632,503600,7535,21576,22853
AKM,8.0,547422,501857,19.0,548141,502361,719,504,878
AKM,39.0,214804,396249,35.0,214713,396282,91,33,96
Kar98k,3.0,167234,294217,27.0,160612,293333,6622,884,6680
AKM,8.0,337456,349567,26.0,333120,345001,4336,4566,6296
AKM,35.0,215882,396753,39.0,215846,396378,36,375,376
M24,6.0,365107,376740,23.0,346829,378490,18278,1750,18361
Kar98k,23.0,346776,378455,24.0,351934,379025,5158,570,5189
M24,6.0,365140,360574,13.0,357706,373422,7434,12848,14843
AKM,9.0,260101,317755,10.0,265893,318979,5792,1224,5919
M24,6.0,364903,375828,23.0,346014,379028,18889,3200,19158
Kar98k,10.0,434557,626110,31.0,420638,608865,13919,17245,22161
AKM,24.0,338207,168122,47.0,338482,167756,275,366,457
AKM,15.0,322395,546648,19.0,326823,546480,4428,168,4431
AKM,5.0,270991,451819,21.0,272785,445755,1794,6064,6323
AKM,10.0,543017,461419,7.0,549250,455318,6233,6101,8721
AWM,1.0,324534,290705,8.0,298506,298322,26028,7617,27119
AKM,5.0,388973,349956,13.0,389964,352138,991,2182,2396
AKM,10.0,539902,518145,17.0,539721,518262,181,117,215
AKM,58.0,323669,345314,62.0,320275,345182,3394,132,3396
AKM,69.0,421187,542199,83.0,421528,543634,341,1435,1474
AKM,26.0,199426,402758,55.0,200180,401896,754,862,1145
AKM,28.0,366157,309490,45.0,366552,309841,395,351,528
AKM,46.0,362586,719541,57.0,362276,719916,310,375,486
AKM,33.0,418634,526915,79.0,419608,528754,974,1839,2081
AKM,10.0,80814,443904,19.0,89306,443122,8492,782,8527
AKM,5.0,177256,293003,77.0,176845,292956,411,47,413
AKM,23.0,366557,227464,37.0,385593,214576,19036,12888,22988
AKM,14.0,356042,323696,29.0,355747,324754,295,1058,1098
AKM,1.0,345268,501015,34.0,343557,503770,1711,2755,3243
Kar98k,5.0,624412,611803,33.0,619898,608109,4514,3694,5832
AKM,15.0,613095,252447,16.0,611769,252031,1326,416,1389
AKM,1.0,206683,279474,47.0,205042,275658,1641,3816,4153
AKM,24.0,565692,249378,21.0,564716,251090,976,1712,1970
AKM,4.0,596546,209825,,596488,209931,58,106,120
AKM,1.0,606978,155085,14.0,606477,154887,501,198,538
AKM,14.0,343290,308166,15.0,342935,308549,355,383,522
AKM,15.0,586194,269676,7.0,585713,268866,481,810,942
AKM,1.0,347155,512803,40.0,346369,514752,786,1949,2101
Kar98k,3.0,631725,198311,9.0,638455,202493,6730,4182,7923
AKM,6.0,150359,318728,30.0,150315,318475,44,253,256
AKM,33.0,202854,284270,45.0,202591,284550,263,280,384
AKM,34.0,374918,401376,36.0,373407,401826,1511,450,1576
AKM,41.0,158005,275767,42.0,157897,275663,108,104,149
AKM,14.0,125173,128372,25.0,125322,128161,149,211,258
AKM,41.0,158013,275776,42.0,157755,276024,258,248,357
AKM,12.0,397897,289756,38.0,397499,291195,398,1439,1493
AKM,14.0,123011,119413,31.0,122787,118686,224,727,760
AKM,5.0,517763,506475,,517006,509897,757,3422,3504
Kar98k,2.0,552385,570387,10.0,541904,583345,10481,12958,16666
Kar98k,2.0,552752,570837,12.0,550751,561051,2001,9786,9988
AKM,29.0,458257,628665,27.0,457855,628613,402,52,405
AKM,13.0,399472,488791,22.0,405927,478595,6455,10196,12067
AKM,19.0,299946,546080,24.0,305058,542761,5112,3319,6094
Kar98k,5.0,550671,545922,7.0,553674,528058,3003,17864,18114
AKM,6.0,404868,292554,13.0,403922,290356,946,2198,2392
AKM,10.0,468798,646709,27.0,468646,647909,152,1200,1209
Kar98k,1.0,335714,663158,5.0,322976,673834,12738,10676,16620
Kar98k,1.0,367673,586061,9.0,358203,574146,9470,11915,15219
AKM,1.0,544793,236583,12.0,544738,236921,55,338,342
Kar98k,1.0,357874,574163,7.0,393445,560628,35571,13535,38059
Kar98k,1.0,350157,661773,3.0,347757,661696,2400,77,2401
AKM,27.0,446466,334249,18.0,0,0,446466,334249,557722
AKM,2.0,550529,590963,4.0,550769,561880,240,29083,29083
AKM,1.0,541098,235831,,541097,235750,1,81,81
AKM,18.0,442697,338010,27.0,443017,338363,320,353,476
AKM,10.0,449868,628388,17.0,448987,628117,881,271,921
AKM,21.0,547466,227534,,546671,224774,795,2760,2872
Kar98k,22.0,550797,554817,23.0,0,0,550797,554817,781792
Kar98k,1.0,657180,227459,5.0,630625,225033,26555,2426,26665
AKM,7.0,618287,380517,30.0,619336,376822,1049,3695,3841
Kar98k,1.0,653602,216419,8.0,648045,213282,5557,3137,6381
AKM,11.0,421827,323547,38.0,424029,323850,2202,303,2222
AKM,4.0,382196,473514,25.0,382244,473371,48,143,150
