player_dist_ride,player_dist_walk,player_dmg,player_kills,team_id,team_placement,top3
0.0,0.0,0,0,100069,99,0
3408.90845,400.158356,0,0,100070,49,0
0.0,2238.1394,0,0,100072,29,0
0.0,161.1274,134,2,100077,62,0
0.0,499.427063,99,1,100079,56,0
1105.07849,126.822678,100,1,100090,66,0
1982.3291,766.4889,49,0,100098,51,0
3724.96851,858.6053,121,1,100002,42,0
0.0,68.39686999999999,100,1,100003,73,0
0.0,287.933472,200,2,100012,69,0
0.0,7.58747,45,0,100015,93,0
0.0,323.969177,0,0,100018,58,0
3500.92065,2448.06543,125,1,100028,22,0
660.6510000000001,682.1635,133,1,100031,52,0
0.0,63.326769999999996,0,0,100033,88,0
0.0,310.046021,314,1,100034,35,0
0.0,20.884897199999997,0,0,100037,87,0
0.0,128.706985,35,0,100040,81,0
5176.647,858.8577,47,0,100042,21,0
0.0,20.508527800000003,0,0,100043,99,0
0.0,168.0532,0,0,100046,78,0
2411.68,1491.05127,0,0,100049,32,0
0.0,30.894331,115,1,100054,79,0
0.0,709.047241,57,0,100059,36,0
0.0,63.8839569,71,0,100060,91,0
0.0,906.655945,111,1,100064,44,0
195.880417,2204.43213,100,1,100073,37,0
0.0,242.312027,0,0,100075,60,0
1960.4137,3029.70386,471,4,100080,2,1
0.0,336.2159,0,0,100085,53,0
1421.442,1326.78809,100,1,100092,20,0
0.0,86.00775,0,0,100005,74,0
769.4625,840.4931,520,6,100006,48,0
0.0,304.431458,100,1,100007,70,0
0.0,77.85824579999999,0,0,100008,95,0
2489.244,383.9945,0,0,100013,57,0
0.0,708.9138,0,0,100021,45,0
6000.4375,1242.47693,49,0,100039,19,0
3623.9382299999997,2153.956,160,1,100041,14,0
0.0,72.08246609999999,405,4,100047,75,0
0.0,170.0716,17,0,100048,77,0
0.0,138.4948,48,0,100056,68,0
0.0,824.0349,100,1,100058,46,0
1452.902,2434.23755,100,1,100066,25,0
0.0,10.249994300000001,0,0,100071,96,0
3318.3379999999997,2203.92188,0,0,100074,11,0
307.14926099999997,749.8373,140,1,100086,16,0
574.339966,1751.6574699999999,634,5,100088,27,0
0.0,492.689178,0,0,100091,54,0
6272.4873,1174.66284,106,0,100093,7,0
4322.8173799999995,1517.9008800000001,6,0,100094,5,0
0.0,35.8499756,100,1,100097,85,0
0.0,476.732422,124,1,100002,54,0
0.0,51.93918,0,0,100005,88,0
0.0,283.6239,0,0,100006,47,0
442.058716,286.378052,21,0,100011,47,0
0.0,107.96582,100,1,100014,65,0
0.0,38.8816376,0,0,100016,97,0
0.0,63.26995,28,0,100018,98,0
0.0,305.3665,18,0,100021,60,0
0.0,123.1843,0,0,100027,74,0
0.0,55.546890000000005,52,0,100036,95,0
0.0,481.51944000000003,264,2,100037,41,0
0.0,197.243042,0,0,100038,77,0
0.0,864.7283,121,0,100043,59,0
665.2283,1031.83972,82,0,100046,40,0
4.26684,4698.802,130,2,100048,20,0
6376.772,2111.63525,221,2,100049,2,1
2893.6084,785.5715,90,0,100053,27,0
0.0,666.861938,100,1,100054,48,0
0.0,80.31676479999999,199,1,100056,79,0
1336.54907,4432.34131,234,2,100059,3,1
0.0,218.740875,157,1,100064,73,0
0.0,80.54725,0,0,100067,90,0
0.0,390.862549,285,2,100068,36,0
2.21102548,731.8298,0,0,100076,53,0
0.0,3176.9184600000003,553,5,100078,18,0
2360.97925,3097.99683,114,1,100081,8,0
3040.4640000000004,1323.6735800000001,1,0,100092,31,0
426.61288499999995,673.724854,200,2,100093,30,0
0.0,497.532654,0,0,100095,44,0
0.0,0.0,0,0,100097,99,0
1251.44189,1501.74854,600,5,100098,26,0
0.0,415.22753900000004,0,0,100099,57,0
0.0,674.4316,417,4,100001,43,0
3087.47314,1891.03918,215,2,100003,15,0
0.0,1838.15686,161,1,100009,39,0
